State,Hotel Name,Type,Amenities,Nearby Tourist Places
Kerala,Kumarakom Lake Resort,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Kumarakom Bird Sanctuary, Vembanad Lake, Pathiramanal Island, Aruvikkuzhi Waterfalls, Kumarakom Beach"
Kerala,"The Leela Kovalam, a Raviz Hotel",Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Lighthouse Beach, Hawa Beach, Samudra Beach, Vizhinjam Rock Cut Cave, Neyyar Dam"
Kerala,Taj Bekal Resort & Spa,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bekal Fort, Kappil River, Madhur Temple, Malik Deenar Mosque, Pallikere Beach"
Kerala,Coconut Lagoon - CGH Earth,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Vembanad Lake, Kumarakom Bird Sanctuary, Pathiramanal Island, Aruvikkuzhi Waterfalls, Kumarakom Backwaters"
Kerala,Spice Village - CGH Earth,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Periyar National Park, Abraham's Spice Garden, Periyar Lake, Gavi, Kadathanadan Kalari Centre"
Kerala,Grand Hyatt Kochi Bolgatty,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bolgatty Palace, Fort Kochi, Marine Drive, Mattancherry Palace, Jewish Synagogue"
Kerala,Brunton Boatyard - CGH Earth,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Fort Kochi, Chinese Fishing Nets, St. Francis Church, Santa Cruz Basilica, Jewish Synagogue"
Kerala,Marari Beach Resort - CGH Earth,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Marari Beach, International Coir Museum, Thaickal Beach, Alleppey Backwaters, Arthunkal Church"
Kerala,Taj Green Cove Resort & Spa,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Hawa Beach, Lighthouse Beach, Samudra Beach, Kovalam Beach, Vizhinjam Marine Aquarium"
Kerala,Taj Malabar Resort & Spa,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Mattancherry Palace, Fort Kochi, Jewish Synagogue, Willingdon Island, Marine Drive"
Kerala,Taj Wayanad Resort & Spa,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Banasura Sagar Dam, Pookode Lake, Edakkal Caves, Meenmutty Waterfalls, Lakkidi View Point"
Kerala,"The Leela Ashtamudi, a Raviz Hotel",Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Ashtamudi Lake, Munroe Island, Thangassery Light House, Thirumullavaram Beach, Shendurney Wildlife Sanctuary"
Kerala,"Scenic, Munnar - IHCL SeleQtions",Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Tea Museum, Eravikulam National Park, Mattupetty Dam, Echo Point, Attukal Waterfalls"
Kerala,Gateway Varkala - IHCL SeleQtions,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Janardhana Swami Temple, Varkala Cliff, Papanasam Beach, Sivagiri Mutt, Kappil Lake"
Kerala,The Gateway Hotel Beach Road,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Calicut Beach, Kappad Beach, Tali Temple, Beypore Port, Kadalundi Bird Sanctuary"
Kerala,Carnoustie Ayurveda & Wellness,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Arthunkal Church, Marari Beach, Alleppey Backwaters, Pathiramanal Island, International Coir Museum"
Kerala,Poovar Island Resort,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Poovar Backwaters, Poovar Beach, Vizhinjam Harbour, Kovalam Beach, Ayyappa Temple"
Kerala,Vythiri Resort,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Pookode Lake, Lakkidi View Point, Banasura Sagar Dam, Chembra Peak, Edakkal Caves"
Kerala,Elixir Hills,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Mattupetty Dam, Eravikulam National Park, Kundala Lake, Munnar Tea Museum, Echo Point"
Kerala,Niraamaya Retreats Surya Samudra,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Azhimala Siva Temple, Kovalam Beach, Chowara Beach, Poovar Island, Padmanabhaswamy Temple"
Kerala,Zuri Kumarakom Resort & Spa,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Driftwood Museum, Vembanad Lake, Kumarakom Bird Sanctuary, Pathiramanal Island, Kumarakom Beach"
Kerala,Forte Kochi,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Santa Cruz Basilica, St. Francis Church, Chinese Fishing Nets, Jewish Synagogue, Mattancherry Palace"
Kerala,Rainforest Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Athirappilly Waterfalls, Vazhachal Falls, Charpa Falls, Thumboormuzhi Dam, Sholayar Dam"
Kerala,The Lalit Resort & Spa Bekal,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Chandragiri Fort, Bekal Fort, Pallikere Beach, Kappil River, Nileshwaram Backwaters"
Kerala,Taj Kumarakom Resort & Spa,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Kumarakom Bird Sanctuary, Vembanad Lake, Pathiramanal Island, Kumarakom Backwaters, Aruvikkuzhi Waterfalls"
Rajasthan,Rambagh Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Hawa Mahal, Amer Fort, City Palace, Jantar Mantar, Birla Mandir"
Rajasthan,Taj Lake Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","City Palace, Jag Mandir, Lake Pichola, Saheliyon Ki Bari, Bagore Ki Haveli"
Rajasthan,Umaid Bhawan Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Mehrangarh Fort, Jaswant Thada, Clock Tower, Rao Jodha Desert Park, Kaylana Lake"
