State/UT,Hotel Name,City,Hotel Category,Hotel Type,Star Rating,Amenities,Nearby Tourist Places,Tourist Place Types,Distances (km)
State,Hotel Name,,,,,,,,
Kerala,Kumarakom Lake Resort,Kumarakom,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Kumarakom Bird Sanctuary, Vembanad Lake, Pathiramanal Island, Aruvikkuzhi Waterfalls, Kumarakom Beach","Wildlife, Heritage, Heritage, Adventure, Beach","8, 29, 27, 25, 11"
Kerala,"The Leela Kovalam, a Raviz Hotel",Kovalam,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Lighthouse Beach, Hawa Beach, Samudra Beach, Vizhinjam Rock Cut Cave, Neyyar Dam","Beach, Beach, Beach, Adventure, Heritage","18, 11, 2, 8, 21"
Kerala,Taj Bekal Resort & Spa,Bekal,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bekal Fort, Kappil River, Madhur Temple, Malik Deenar Mosque, Pallikere Beach","Heritage, Heritage, Religious, Religious, Beach","25, 28, 3, 2, 19"
Kerala,Coconut Lagoon - CGH Earth,Kumarakom,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Vembanad Lake, Kumarakom Bird Sanctuary, Pathiramanal Island, Aruvikkuzhi Waterfalls, Kumarakom Backwaters","Heritage, Wildlife, Heritage, Adventure, Heritage","27, 39, 27, 25, 29"
Kerala,Spice Village - CGH Earth,Thiruvananthapuram,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Periyar National Park, Abraham's Spice Garden, Periyar Lake, Gavi, Kadathanadan Kalari Centre","Wildlife, Heritage, Heritage, Heritage, Heritage","29, 16, 30, 12, 9"
Kerala,Grand Hyatt Kochi Bolgatty,Kochi,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bolgatty Palace, Fort Kochi, Marine Drive, Mattancherry Palace, Jewish Synagogue","Heritage, Heritage, Beach, Heritage, Heritage","19, 26, 10, 22, 20"
Kerala,Brunton Boatyard - CGH Earth,Kochi,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Fort Kochi, Chinese Fishing Nets, St. Francis Church, Santa Cruz Basilica, Jewish Synagogue","Heritage, Heritage, Religious, Heritage, Heritage","30, 20, 7, 7, 20"
Kerala,Marari Beach Resort - CGH Earth,Mararikulam,Medium Luxury,Beach Resort,4★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Marari Beach, International Coir Museum, Thaickal Beach, Alleppey Backwaters, Arthunkal Church","Beach, Heritage, Beach, Heritage, Religious","8, 25, 7, 22, 4"
Kerala,Taj Green Cove Resort & Spa,Kovalam,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Hawa Beach, Lighthouse Beach, Samudra Beach, Kovalam Beach, Vizhinjam Marine Aquarium","Beach, Beach, Beach, Beach, Heritage","19, 23, 2, 11, 21"
Kerala,Taj Malabar Resort & Spa,Kochi,Ultra Luxury,Resort,5★,"WiFi, Swimming Pool, Spa, Gym, Parking","Mattancherry Palace, Fort Kochi, Jewish Synagogue, Willingdon Island, Marine Drive","Heritage, Heritage, Heritage, Heritage, Beach","4, 26, 5, 24, 16"
Kerala,Taj Wayanad Resort & Spa,Kalpetta,Ultra Luxury,Hill Resort,5★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Banasura Sagar Dam, Pookode Lake, Edakkal Caves, Meenmutty Waterfalls, Lakkidi View Point","Heritage, Heritage, Adventure, Religious, Hill Station","8, 17, 4, 7, 5"
Kerala,"The Leela Ashtamudi, a Raviz Hotel",Kollam,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Ashtamudi Lake, Munroe Island, Thangassery Light House, Thirumullavaram Beach, Shendurney Wildlife Sanctuary","Heritage, Heritage, Heritage, Beach, Wildlife","28, 23, 6, 7, 8"
Kerala,"Scenic, Munnar - IHCL SeleQtions",Munnar,Medium Luxury,Hill Resort,5★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Tea Museum, Eravikulam National Park, Mattupetty Dam, Echo Point, Attukal Waterfalls","Heritage, Wildlife, Heritage, Heritage, Adventure","13, 6, 24, 24, 33"
Kerala,Gateway Varkala - IHCL SeleQtions,Varkala,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Janardhana Swami Temple, Varkala Cliff, Papanasam Beach, Sivagiri Mutt, Kappil Lake","Religious, Heritage, Beach, Religious, Heritage","14, 4, 25, 13, 30"
Kerala,The Gateway Hotel Beach Road,Thiruvananthapuram,Medium Luxury,Beach Resort,4★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Calicut Beach, Kappad Beach, Tali Temple, Beypore Port, Kadalundi Bird Sanctuary","Beach, Beach, Religious, Heritage, Wildlife","21, 13, 5, 2, 26"
Kerala,Carnoustie Ayurveda & Wellness,Mararikulam,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Arthunkal Church, Marari Beach, Alleppey Backwaters, Pathiramanal Island, International Coir Museum","Religious, Beach, Heritage, Heritage, Heritage","12, 21, 5, 18, 14"
Kerala,Poovar Island Resort,Kovalam,Medium Luxury,Beach Resort,4★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Poovar Backwaters, Poovar Beach, Vizhinjam Harbour, Kovalam Beach, Ayyappa Temple","Heritage, Beach, Heritage, Beach, Religious","11, 17, 20, 11, 6"
Kerala,Vythiri Resort,Wayanad,Medium Luxury,Hill Resort,4★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Pookode Lake, Lakkidi View Point, Banasura Sagar Dam, Chembra Peak, Edakkal Caves","Heritage, Hill Station, Heritage, Hill Station, Adventure","26, 29, 8, 28, 28"
Kerala,Elixir Hills,Munnar,Medium Luxury,Hill Resort,5★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Mattupetty Dam, Eravikulam National Park, Kundala Lake, Munnar Tea Museum, Echo Point","Heritage, Wildlife, Heritage, Hill Station, Heritage","12, 6, 21, 25, 27"
Kerala,Niraamaya Retreats Surya Samudra,Kovalam,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Azhimala Siva Temple, Kovalam Beach, Chowara Beach, Poovar Island, Padmanabhaswamy Temple","Religious, Beach, Beach, Heritage, Religious","14, 14, 9, 28, 10"
Kerala,Zuri Kumarakom Resort & Spa,Kumarakom,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Driftwood Museum, Vembanad Lake, Kumarakom Bird Sanctuary, Pathiramanal Island, Kumarakom Beach","Heritage, Heritage, Wildlife, Heritage, Beach","12, 29, 59, 18, 11"
Kerala,Forte Kochi,Kochi,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Santa Cruz Basilica, St. Francis Church, Chinese Fishing Nets, Jewish Synagogue, Mattancherry Palace","Heritage, Religious, Heritage, Heritage, Heritage","24, 8, 16, 20, 3"
Kerala,Rainforest Resort,Thrissur,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Athirappilly Waterfalls, Vazhachal Falls, Charpa Falls, Thumboormuzhi Dam, Sholayar Dam","Adventure, Adventure, Adventure, Heritage, Heritage","10, 13, 31, 18, 19"
Kerala,The Lalit Resort & Spa Bekal,Bekal,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Chandragiri Fort, Bekal Fort, Pallikere Beach, Kappil River, Nileshwaram Backwaters","Heritage, Heritage, Beach, Heritage, Heritage","2, 9, 17, 21, 3"
Kerala,Taj Kumarakom Resort & Spa,Kumarakom,Ultra Luxury,Resort,5★,"WiFi, Swimming Pool, Spa, Gym, Parking","Kumarakom Bird Sanctuary, Vembanad Lake, Pathiramanal Island, Kumarakom Backwaters, Aruvikkuzhi Waterfalls","Wildlife, Heritage, Heritage, Heritage, Adventure","8, 29, 27, 12, 23"
,,,,,,,,,
State,Hotel Name,,,,,,,,
Rajasthan,Rambagh Palace,Jaipur,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Hawa Mahal, Amer Fort, City Palace, Jantar Mantar, Birla Mandir","Heritage, Heritage, Heritage, Heritage, Religious","30, 15, 18, 30, 3"
Rajasthan,Taj Lake Palace,Udaipur,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","City Palace, Jag Mandir, Lake Pichola, Saheliyon Ki Bari, Bagore Ki Haveli","Heritage, Religious, Heritage, Heritage, Heritage","28, 18, 24, 10, 12"
